"order_id","user_id","product_id","city","order_date","delivery_time_minutes","is_cancelled","user_id","fullname","product_id","product_name","Price","Time","Wind(m/s)","Rain(mm)","Weather"
194,114,1,Kisumu,"20/08/2025 18:00",179,0,114,Yvette Quigley,1,Red Onions - (appx. 10 pieces) per Kg,119,"20/08/2025 18:00",1.81,0,light rain
187,2,1,Mombasa,"20/08/2025 09:00",123,1,2,Hillary Hickle,1,Red Onions - (appx. 10 pieces) per Kg,119,"20/08/2025 09:00",6.47,0,broken clouds
171,33,1,Nairobi,"19/08/2025 09:00",32,0,33,Morton Monahan,1,Red Onions - (appx. 10 pieces) per Kg,119,"19/08/2025 09:00",2.98,0,light rain
146,174,1,Mombasa,"18/08/2025 00:00",222,1,174,Sally Hudson,1,Red Onions - (appx. 10 pieces) per Kg,119,"18/08/2025 00:00",4.65,0,broken clouds
129,42,1,Nairobi,"17/08/2025 06:00",187,1,42,Roma Adams,1,Red Onions - (appx. 10 pieces) per Kg,119,"17/08/2025 06:00",1.23,0,broken clouds
125,45,1,Eldoret,"20/08/2025 03:00",236,1,45,Ena Herzog,1,Red Onions - (appx. 10 pieces) per Kg,119,"20/08/2025 03:00",2.17,0,overcast clouds
123,77,1,Mombasa,"17/08/2025 21:00",46,0,77,Vallie Cronin,1,Red Onions - (appx. 10 pieces) per Kg,119,"17/08/2025 21:00",5.7,0,broken clouds
121,39,1,Mombasa,"18/08/2025 15:00",66,1,39,Kyla Effertz,1,Red Onions - (appx. 10 pieces) per Kg,119,"18/08/2025 15:00",6.44,0,scattered clouds
108,109,1,Kisumu,"18/08/2025 06:00",163,0,109,Maryam Langworth,1,Red Onions - (appx. 10 pieces) per Kg,119,"18/08/2025 06:00",0.5,0,overcast clouds
46,149,1,Mombasa,"21/08/2025 09:00",78,0,149,Katrine Botsford,1,Red Onions - (appx. 10 pieces) per Kg,119,"21/08/2025 09:00",6.22,0,light rain
20,149,1,Mombasa,"20/08/2025 21:00",124,0,149,Katrine Botsford,1,Red Onions - (appx. 10 pieces) per Kg,119,"20/08/2025 21:00",6.35,0,broken clouds
2,127,1,Eldoret,"17/08/2025 12:00",132,0,127,Dane Muller,1,Red Onions - (appx. 10 pieces) per Kg,119,"17/08/2025 12:00",2.34,3,moderate rain
189,63,2,Eldoret,"20/08/2025 03:00",118,1,63,Ronaldo Deckow,2,White Onions - (appx. 10 pieces) per Kg,179,"20/08/2025 03:00",2.17,0,overcast clouds
188,105,2,Mombasa,"20/08/2025 06:00",167,0,105,Eliezer White,2,White Onions - (appx. 10 pieces) per Kg,179,"20/08/2025 06:00",6.21,0,light rain
107,58,2,Nakuru,"17/08/2025 03:00",202,0,58,Jensen Mohr,2,White Onions - (appx. 10 pieces) per Kg,179,"17/08/2025 03:00",0.98,0,broken clouds
98,31,2,Mombasa,"20/08/2025 00:00",48,1,31,Americo Swaniawski,2,White Onions - (appx. 10 pieces) per Kg,179,"20/08/2025 00:00",4.39,0,scattered clouds
37,145,2,Eldoret,"21/08/2025 21:00",150,1,145,Ezequiel Gaylord,2,White Onions - (appx. 10 pieces) per Kg,179,"21/08/2025 21:00",1.18,0,light rain
34,88,2,Kisumu,"19/08/2025 12:00",207,0,88,Jeremie Bauch,2,White Onions - (appx. 10 pieces) per Kg,179,"19/08/2025 12:00",2.04,1,light rain
31,107,2,Eldoret,"17/08/2025 15:00",183,0,107,Glenna Kutch,2,White Onions - (appx. 10 pieces) per Kg,179,"17/08/2025 15:00",1.03,5,moderate rain
3,166,2,Kisumu,"19/08/2025 03:00",219,1,166,Dewayne Wiza,2,White Onions - (appx. 10 pieces) per Kg,179,"19/08/2025 03:00",1.68,0,overcast clouds
191,126,3,Mombasa,"20/08/2025 06:00",147,0,126,Oda Leffler,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"20/08/2025 06:00",6.21,0,light rain
176,133,3,Eldoret,"17/08/2025 09:00",225,1,133,Luther Oberbrunner,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"17/08/2025 09:00",1.49,2,light rain
164,125,3,Mombasa,"17/08/2025 18:00",178,0,125,Kelsi Moen,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"17/08/2025 18:00",6.23,0,scattered clouds
160,66,3,Kisumu,"18/08/2025 06:00",81,1,66,Jace Koss,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"18/08/2025 06:00",0.5,0,overcast clouds
147,30,3,Nakuru,"21/08/2025 06:00",232,1,30,Santino Friesen,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"21/08/2025 06:00",2.51,0,overcast clouds
141,82,3,Mombasa,"20/08/2025 18:00",138,0,82,Eloise Runte,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"20/08/2025 18:00",5.85,0,broken clouds
138,187,3,Eldoret,"18/08/2025 21:00",81,0,187,Jimmie Hills,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"18/08/2025 21:00",2.19,1,light rain
136,160,3,Eldoret,"17/08/2025 18:00",172,1,160,Sid Bernier,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"17/08/2025 18:00",0.41,3,moderate rain
133,79,3,Mombasa,"17/08/2025 12:00",38,0,79,Nelle Treutel,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"17/08/2025 12:00",7.48,0,few clouds
126,116,3,Eldoret,"20/08/2025 00:00",141,1,116,Waino Heaney,3,Round Tomatoes - (appx. 6 pieces) per Kg,199,"20/08/2025 00:00",0.82,0,overcast clouds
